Country,CumulCasesTotalPerMillion
United States of America,37588.6
India,6746.2
Brazil,29011.21
Russian Federation,15181.7
France,32860.45
Spain,34592.29
The United Kingdom,23194.26
Italy,24972.37
Argentina,30763.67
Colombia,24978.75
Mexico,8302.68
Germany,12011.78
Peru,28947.69
Poland,24866.48
Iran (Islamic Republic of),10814.55
South Africa,13127.44
Ukraine,15855.19
Belgium,48960.7
Chile,28544.48
Iraq,13541.43
Indonesia,1889.24
Czechia,47765.52
Netherlands,29326.74
Turkey,5627.36
Bangladesh,2771.51
Romania,23357.74
Philippines,3871.99
Pakistan,1748.35
Saudi Arabia,10236.98
Canada,9206.31
Morocco,9229.99
Israel,38379.14
Switzerland,36133.52
Portugal,27498.48
Austria,29389.33
Sweden,23403.19
Nepal,7812.8
Jordan,19897.91
Hungary,20541.7
Ecuador,10663.57
Kazakhstan,9105.38
United Arab Emirates,16578.4
Panama,36741.73
Serbia,21283.6
Bolivia (Plurinational State of),12359.78
Kuwait,33144.75
Dominican Republic,12990.71
Japan,1102.9
Qatar,47922.06
Bulgaria,19663.1
Costa Rica,26406.93
Armenia,44662.55
Belarus,13758.87
Georgia,30951.32
Oman,24003.91
Lebanon,17897.59
Guatemala,6736.32
Croatia,28165.28
Egypt,1118.64
Ethiopia,936.55
Honduras,10713.8
Azerbaijan,10464.46
Republic of Moldova,25506.93
Slovakia,18546.45
Venezuela (Bolivarian Republic of),3545.41
Greece,9527.53
China,63.29
Tunisia,7824.52
"occupied Palestinian territory, including east Jerusalem",17929.15
Bahrain,50745.34
Myanmar,1565.99
Bosnia and Herzegovina,25680.17
Libya,11701.87
Kenya,1489.68
Algeria,1804.06
Paraguay,11058.9
Denmark,13016.64
Uzbekistan,2163.45
Kyrgyzstan,10966.56
Ireland,14478.96
Slovenia,34187.17
Nigeria,324.9
Malaysia,1877.03
North Macedonia,28131.21
Singapore,9947.28
Lithuania,19746.98
Ghana,1648.54
Puerto Rico,17206.76
Afghanistan,1174.36
El Salvador,5840.7
Kosovo[1],19880.34
Albania,12370.57
Norway,6320.88
Montenegro,53277.84
Republic of Korea,641.46
Luxembourg,51279.76
Australia,1092.83
Cameroon,908.5
Finland,4177.8
Sri Lanka,1028.71
Côte d’Ivoire,803.65
Uganda,417.9
Zambia,954.8
Madagascar,626.23
Sudan,384.59
Senegal,953.18
Mozambique,494.86
Latvia,8043.16
Angola,453.96
Namibia,5570.85
French Polynesia,49421.87
Guinea,986
Maldives,23844.5
Democratic Republic of the Congo,139.22
Tajikistan,1262.79
French Guiana,37290.5
Estonia,8258.36
Jamaica,3559.75
Cabo Verde,18932.1
Botswana,4248.97
Cyprus,8011.7
Zimbabwe,647.45
Haiti,811.75
Malta,20956.06
Gabon,4121.34
Guadeloupe,20853.54
Cuba,712.92
Mauritania,1736.69
Réunion,8752.26
Syrian Arab Republic,430.96
Bahamas,19026.36
Guam,39241.59
Andorra,84566.1
Trinidad and Tobago,4646.7
Eswatini,5455.26
Malawi,314.69
Rwanda,451.74
Congo,1046.38
Djibouti,5744.94
Belize,13638.38
Martinique,14424.47
Iceland,15598.85
Suriname,9043.15
Guyana,6656.9
Mayotte,18990.89
Equatorial Guinea,3667.89
Uruguay,1435.92
Central African Republic,1017.23
Aruba,44752.07
Nicaragua,698.76
Mali,222.46
Somalia,280.06
Thailand,56.75
Gambia,1542.62
South Sudan,272.21
Benin,245.31
Togo,346.91
Burkina Faso,132.85
Guinea-Bissau,1230.69
Sierra Leone,301.99
Lesotho,984.48
Yemen,69.67
Curaçao,11755.53
New Zealand,350.67
Chad,101.12
Liberia,314.57
United States Virgin Islands,14709.12
San Marino,44610.76
Niger,59.61
Viet Nam,13.67
Liechtenstein,32933.9
Sint Maarten,24159.32
Gibraltar,29414.38
Sao Tome and Principe,4494.45
Jersey,7858.46
Turks and Caicos Islands,19267.52
Other,
Mongolia,217.19
Saint Martin,17848.37
Burundi,57.27
Papua New Guinea,72.09
Comoros,698.02
Monaco,15288.96
Eritrea,159.6
United Republic of Tanzania,8.52
Faroe Islands,10232.27
Mauritius,390.79
Bhutan,504.14
Isle of Man,4339.54
Cambodia,18.36
Guernsey,4509.78
Cayman Islands,4093.12
Barbados,925.62
Bermuda,3870.06
Saint Lucia,1296.11
Seychelles,1698.07
"Bonaire, Sint Eustatius and Saba",6140.12
Brunei Darussalam,342.87
Antigua and Barbuda,1429.61
Saint Barthélemy,12847.75
Northern Mariana Islands (Commonwealth of the),1806.9
Saint Vincent and the Grenadines,757.17
Dominica,1111.25
British Virgin Islands,2381.19
Grenada,364.37
Lao People's Democratic Republic,5.36
Fiji,42.39
New Caledonia,112.08
Timor-Leste,22.75
Holy See,32138.44
Saint Kitts and Nevis,413.6
Greenland,317.06
Solomon Islands,24.75
Falkland Islands (Malvinas),4593.74
Saint Pierre and Miquelon,2415.88
Montserrat,2600.52
Anguilla,266.63
Marshall Islands,67.57
Wallis and Futuna,266.76
Vanuatu,3.26
American Samoa,0
Cook Islands,0
Democratic People's Republic of Korea,0
Kiribati,0
Micronesia (Federated States of),0
Nauru,0
Niue,0
Palau,0
Pitcairn Islands,0
Saint Helena,0
Samoa,0
Tokelau,0
Tonga,0
Turkmenistan,0
Tuvalu,0
